index,Skills,Count,Count2
0,Python,Python,782
1,SQL,SQL,886
2,machine learning,machine learning,886
3,R,R,4278
4,data science,data science,605
5,data visualization tools,data visualization tools,36
6,Data Scientist,Data Scientist,510
7,data mining,data mining,136
8,data analysis,data analysis,252
9,Data Science,Data Science,438
10,AWS,AWS,284
11,relational databases,relational databases,41
12,SAS,SAS,142
13,one,one,1521
14,Machine Learning,Machine Learning,318
15,models,models,1002
16,libraries,libraries,111
17,customers,customers,748
18,programming languages,programming languages,87
19,testing,testing,354
20,tools,tools,1002
21,field,field,549
22,analytics,analytics,980
23,Experience,Experience,1860
24,Tableau,Tableau,277
25,big data technologies,big data technologies,15
26,Data Analysis,Data Analysis,51
27,Java,Java,268
28,Databases,Databases,29
29,JavaScript,JavaScript,77
30,related field,related field,172
31,more,more,946
32,role,role,793
33,software engineering,software engineering,58
34,statistics,statistics,237
35,systems,systems,689
36,advanced analytics,advanced analytics,110
37,application,application,760
38,software development,software development,163
39,Docker,Docker,102
40,Analytics,Analytics,486
41,Engineering,Engineering,406
42,degree,degree,609
43,design,design,1031
44,statistical analysis,statistical analysis,83
45,big data tools,big data tools,23
46,data science tools,data science tools,29
47,natural language processing,natural language processing,49
48,Computer Science,Computer Science,350
49,Looker,Looker,97
50,equivalent combination,equivalent combination,35
51,Statistics,Statistics,251
52,project management,project management,31
53,etc,etc,555
54,experience,experience,3050
55,techniques,techniques,568
56,years,years,1117
57,data visualization,data visualization,147
58,modeling,modeling,295
59,B testing,B testing,72
60,associated frameworks,associated frameworks,9
61,AdTech,AdTech,8
62,DevOps,DevOps,62
63,Java programming,Java programming,12
64,OpenText Magellan,OpenText Magellan,8
65,Unix,Unix,46
66,computer vision,computer vision,52
67,databases,databases,238
68,machine learning roles,machine learning roles,8
69,mathematics,mathematics,83
70,optimization,optimization,200
71,AI platform,AI platform,17
72,Data Analytics,Data Analytics,72
73,Google Cloud,Google Cloud,69
74,NLP,NLP,186
75,cloud technologies,cloud technologies,11
76,data engineering,data engineering,59
77,financial,financial,246
78,following,following,151
79,insurance,insurance,228
80,marketing analytics,marketing analytics,11
81,relevant technology stacks,relevant technology stacks,7
82,services,services,752
83,statistical modelling techniques,statistical modelling techniques,7
84,Kubernetes,Kubernetes,61
85,NLP techniques,NLP techniques,15
86,PySpark,PySpark,14
87,React,React,81
88,advertising,advertising,71
89,data,data,7703
90,data analytics,data analytics,128
91,employees,employees,509
92,GIS,GIS,15
93,Hadoop,Hadoop,99
94,NoSQL,NoSQL,52
95,Spark,Spark,186
96,common data science toolkits,common data science toolkits,5
97,modelling,modelling,108
98,ETL,ETL,137
99,data modelling,data modelling,18
100,Analytics professional,Analytics professional,16
101,Administrative,Administrative,14
102,Customer Service,Customer Service,18
103,Document Control,Document Control,12
104,Field Services,Field Services,37
105,Gas,Gas,12
106,Information Systems,Information Systems,31
107,Oil,Oil,12
108,Project Management,Project Management,17
109,Quality,Quality,40
110,Go,Go,574
111,Objective C,Objective C,8
112,Oracle,Oracle,55
113,Successful candidates,Successful candidates,14
114,cloud development,cloud development,9
115,data sets,data sets,303
116,kubernetes,kubernetes,10
117,mobile application development,mobile application development,10
118,part,part,1740
119,personal touch,personal touch,8
120,programming,programming,369
121,students,students,90
122,teaching role,teaching role,8
123,understanding,understanding,512
124,any,any,1741
125,classical machine,classical machine,7
126,cloud services,cloud services,37
127,languages,languages,214
128,operational research,operational research,7
129,recommender engine,recommender engine,8
130,report development,report development,14
131,similar visualization platform,similar visualization platform,7
132,NoSQL databases,NoSQL databases,22
133,analysis,analysis,1069
134,channels,channels,30
135,computing language,computing language,7
136,deep knowledge,deep knowledge,27
137,frameworks,frameworks,213
138,general purpose programming languages,general purpose programming languages,10
139,job,job,366
140,large data environment,large data environment,7
141,like environments,like environments,6
142,methods,methods,245
143,operations,operations,243
144,production architecture,production architecture,8
145,reporting,reporting,315
146,scale data analysis,scale data analysis,12
147,similar role,similar role,11
148,strategy,strategy,222
149,web analytics tools,web analytics tools,11
150,Redux,Redux,20
151,analytical roles,analytical roles,5
152,continuous delivery,continuous delivery,11
153,data analyst,data analyst,37
154,data pipeline,data pipeline,124
155,frontend development,frontend development,5
156,knowledge,knowledge,754
157,learn,learn,2043
158,machine learning methodologies,machine learning methodologies,12
159,marketing,marketing,301
160,model development,model development,55
161,python,python,33
162,variety,variety,248
163,web application development,web application development,8
164,you,you,5389
165,Applied Mathematics,Applied Mathematics,37
166,ETL tools,ETL tools,16
167,Education,Education,124
168,Pandas,Pandas,72
169,algorithms,algorithms,377
170,business reporting tools,business reporting tools,4
171,cartography,cartography,4
172,data modeling,data modeling,52
173,data science role,data science role,6
174,development,development,1194
175,healthcare,healthcare,99
176,other tools,other tools,7
177,source libraries,source libraries,8
178,statistical modeling,statistical modeling,40
179,statistical modeling tools,statistical modeling tools,4
180,surveying,surveying,12
181,ARCore,ARCore,6
182,ARFoundation,ARFoundation,3
183,ARKit,ARKit,6
184,Azure Monitor,Azure Monitor,3
